Site_Name,offset
AL-A,-1.5955392375127424
AL-B,-1.6078951437308866
AL-C,-1.5523539653414882
AL-D,-0.24966904791029623
BN-A,-1.5349649311926608
BN-B,-1.7414615056065235
BN-Baro,0
BN-C,-1.7546812150866462
BN-D,-0.3093249745157998
BN-E,-0.8219666952089703
EP-A,-1.5101532079510702
EP-B,-1.564262337410805
EP-C,-1.6856082446483187
GR-A,-1.7210194709480124
GR-B,-1.733762286442406
GR-C,-1.511246019367992
GR-D,-0.33833418552497485
GR-E,-1.3145601060142709
